t,PPI_mean
2017-01-04,
2017-01-07,
2017-01-14,
2017-01-24,
2017-01-27,
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,0.074770965
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,
2017-03-28,0.12402701
2017-03-30,
2017-04-02,
2017-04-04,
2017-04-07,
2017-04-09,
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,0.23338835
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,0.23855378
2017-05-19,
2017-05-22,
2017-05-24,
2017-05-27,0.33930635
2017-05-29,
2017-06-01,
2017-06-03,0.457766
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,0.46127495
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,0.4191553
2017-06-28,
2017-07-01,0.80353516
2017-07-03,
2017-07-06,0.45370445
2017-07-08,0.55440384
2017-07-11,
2017-07-13,0.81304836
2017-07-16,
2017-07-18,0.6242181
2017-07-21,0.47459704
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,0.71541107
2017-08-02,
2017-08-05,0.4276826
2017-08-07,0.6441577
2017-08-10,
2017-08-12,
2017-08-15,0.46954888
2017-08-17,0.6440952
2017-08-20,
2017-08-22,1.1663158
2017-08-25,0.41452968
2017-08-27,0.6548097
2017-08-30,
2017-09-01,
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,0.296872
2017-09-24,
2017-09-26,0.28447947
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,
2017-10-09,
2017-10-11,0.18936923
2017-10-14,0.14447322
2017-10-16,0.18408883
2017-10-19,0.1366577
2017-10-21,
2017-10-24,
2017-10-26,0.12558721
2017-10-29,
2017-10-31,
2017-11-03,
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2017-12-03,
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,0.060425024
2017-12-15,0.084272735
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,0.059211012
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,
2018-01-27,
2018-01-29,0.08625576
2018-02-01,
2018-02-03,
2018-02-06,
