t,PPI_mean
2017-01-28,
2017-01-31,
2017-02-07,
2017-02-10,
2017-02-17,
2017-02-20,
2017-02-27,
2017-03-02,
2017-03-09,
2017-03-12,
2017-03-19,
2017-03-22,
2017-03-24,
2017-03-27,
2017-03-29,
2017-04-01,
2017-04-03,
2017-04-06,
2017-04-08,
2017-04-11,
2017-04-13,
2017-04-16,
2017-04-18,0.2840411
2017-04-21,
2017-04-23,
2017-04-26,
2017-04-28,
2017-05-01,0.19586948
2017-05-06,
2017-05-08,
2017-05-11,
2017-05-13,
2017-05-16,
2017-05-18,
2017-05-21,0.25004914
2017-05-26,
2017-05-28,0.29532078
2017-05-31,
2017-06-02,
2017-06-05,
2017-06-07,0.40655044
2017-06-10,
2017-06-12,
2017-06-15,
2017-06-17,0.46872202
2017-06-20,
2017-06-22,
2017-06-25,
2017-06-27,
2017-06-30,0.74057925
2017-07-02,
2017-07-05,
2017-07-07,
2017-07-10,
2017-07-12,
2017-07-15,
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,0.3706574
2017-08-01,
2017-08-04,
2017-08-06,0.0
2017-08-09,0.67807454
2017-08-11,
2017-08-14,0.93396574
2017-08-16,
2017-08-19,
2017-08-21,
2017-08-24,
2017-08-26,
2017-08-29,
2017-08-31,
2017-09-03,0.6390567
2017-09-05,0.6707275
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,
2017-09-18,
2017-09-20,
2017-09-23,0.31200495
2017-09-28,
2017-09-30,
2017-10-03,
2017-10-05,
2017-10-08,
2017-10-10,
2017-10-13,
2017-10-15,
2017-10-18,
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,
2017-10-30,
2017-11-02,
2017-11-04,
2017-11-07,0.020911438
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,
2017-11-19,
2018-01-23,
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,
2018-02-07,
2018-02-10,
2018-02-12,
2018-02-15,
2018-02-17,
2018-02-20,
2018-02-22,
2018-02-25,
2018-02-27,
2018-03-02,
2018-03-04,
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,
2018-03-17,
2018-03-19,
2018-03-22,
2018-03-24,
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,
2018-04-06,
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,
2018-04-18,
2018-04-21,
2018-04-23,0.00198
2018-04-26,
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,0.100370765
2018-05-08,0.18052155
2018-05-11,0.18489239
2018-05-13,0.21130125
2018-05-16,
2018-05-18,0.31651694
2018-05-21,0.3172356
2018-05-23,0.37647542
2018-05-26,
2018-05-31,0.47290164
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,0.4951398
2018-06-12,0.5876224
2018-06-15,
2018-06-17,
2018-06-20,0.7283996
2018-06-22,
2018-06-25,
2018-06-27,
2018-06-30,1.0434512
2018-07-02,
2018-07-05,
2018-07-07,0.94341743
2018-07-10,0.39818433
2018-07-12,
2018-07-15,
2018-07-17,
2018-07-20,
2018-07-22,0.6493487
2018-07-25,0.91453505
2018-07-27,0.66674393
2018-07-30,0.6324532
2018-08-01,
2018-08-04,0.04361707
2018-08-06,
2018-08-09,
2018-08-11,0.5964044
2018-08-14,0.61035085
2018-08-16,
2018-08-19,
2018-08-21,0.6647118
2018-08-24,0.34272966
2018-08-26,
2018-08-29,0.36212796
2018-08-31,
2018-09-03,
2018-09-05,
2018-09-08,0.24766949
2018-09-10,
2018-09-13,
2018-09-15,
2018-09-18,
2018-09-20,0.25410724
2018-09-23,0.2535661
2018-09-25,0.22406991
2018-09-28,
2018-09-30,
2018-10-03,0.012036538
2018-10-05,
2018-10-08,
2018-10-10,
2018-10-13,
2018-10-15,0.09070338
2018-10-18,
2018-10-20,
2018-10-23,
2018-10-25,
2018-10-28,0.06910763
2018-10-30,
2018-11-02,
2018-11-04,
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,
2018-11-17,0.023096608
2018-11-19,0.017935593
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,
2019-02-10,
2019-02-12,
2019-02-15,
2019-02-17,
2019-02-20,
2019-02-22,
2019-02-25,
2019-02-27,
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,
2019-03-22,
2019-03-24,
2019-03-27,
2019-03-29,
2019-04-01,
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,
2019-04-13,
2019-04-16,
2019-04-18,
2019-04-21,
2019-04-23,0.078644715
2019-04-26,
2019-04-28,0.12553813
2019-05-01,
2019-05-03,
2019-05-06,
2019-05-08,
2019-05-11,
2019-05-13,
2019-05-16,
2019-05-18,0.19509661
2019-05-21,0.025064286
2019-05-23,
2019-05-26,
2019-05-28,
2019-05-31,0.5143271
2019-06-02,
2019-06-05,
2019-06-07,0.554993
2019-06-10,
2019-06-12,
