t,EVI2
2017-02-10,
2017-02-13,
2017-02-16,
2017-02-20,
2017-02-23,
2017-02-26,
2017-03-02,
2017-03-05,
2017-03-08,
2017-03-12,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-22,
2017-03-23,
2017-03-25,
2017-03-27,
2017-03-28,
2017-03-30,
2017-04-01,
2017-04-02,
2017-04-04,
2017-04-06,
2017-04-07,
2017-04-09,
2017-04-11,
2017-04-12,
2017-04-14,
2017-04-16,
2017-04-17,
2017-04-21,
2017-04-22,
2017-04-24,
2017-04-26,
2017-04-27,
2017-04-29,
2017-05-01,
2017-05-02,
2017-05-04,
2017-05-06,
2017-05-07,
2017-05-09,
2017-05-11,
2017-05-12,
2017-05-14,
2017-05-16,
2017-05-17,
2017-05-19,
2017-05-21,
2017-05-22,
2017-05-24,
2017-05-26,
2017-05-27,
2017-05-29,
2017-05-31,
2017-06-01,
2017-06-03,0.23626995
2017-06-05,
2017-06-06,
2017-06-08,0.2407604
2017-06-10,0.26069328
2017-06-11,
2017-06-13,
2017-06-15,0.25184262
2017-06-16,0.25739053
2017-06-18,
2017-06-20,0.27217323
2017-06-21,
2017-06-23,
2017-06-25,
2017-06-26,
2017-06-28,
2017-06-30,
2017-07-01,
2017-07-03,
2017-07-05,
2017-07-06,
2017-07-08,
2017-07-10,
2017-07-11,
2017-07-13,
2017-07-15,
2017-07-16,
2017-07-18,
2017-07-20,
2017-07-21,
2017-07-23,
2017-07-25,0.27859387
2017-07-26,0.26325795
2017-07-28,0.38466722
2017-07-30,
2017-07-31,
2017-08-02,
2017-08-04,
2017-08-05,
2017-08-07,
2017-08-09,
2017-08-10,
2017-08-12,
2017-08-14,
2017-08-15,
2017-08-17,
2017-08-19,
2017-08-20,
2017-08-22,
2017-08-24,
2017-08-25,
2017-08-27,
2017-08-29,
2017-08-30,0.25972456
2017-09-01,
2017-09-03,0.22990902
2017-09-04,0.25008556
2017-09-06,0.26235712
2017-09-08,
2017-09-09,
2017-09-11,
2017-09-13,
2017-09-14,
2017-09-16,
2017-09-18,
2017-09-19,
2017-09-21,
2017-09-23,
2017-09-24,
2017-09-26,
2017-09-28,
2017-09-29,
2017-10-01,
2017-10-03,
2017-10-04,
2017-10-06,
2017-10-08,
2017-10-09,
2017-10-11,
2017-10-13,
2017-10-14,
2017-10-16,
2017-10-18,
2017-10-19,
2017-10-21,
2017-10-23,
2017-10-24,
2017-10-26,
2017-10-28,
2017-10-29,
2018-02-10,
2018-02-13,
2018-02-15,
2018-02-16,
2018-02-18,
2018-02-20,
2018-02-21,
2018-02-23,
2018-02-25,
2018-02-26,
2018-02-28,
2018-03-02,
2018-03-03,
2018-03-05,
2018-03-07,
2018-03-08,
2018-03-10,
2018-03-12,
2018-03-13,
2018-03-15,
2018-03-17,
2018-03-18,
2018-03-20,
2018-03-22,
2018-03-23,
2018-03-25,
2018-03-27,
2018-03-28,
2018-03-30,
2018-04-01,
2018-04-02,
2018-04-04,
2018-04-06,
2018-04-07,
2018-04-09,
2018-04-11,
2018-04-12,
2018-04-14,
2018-04-16,
2018-04-17,
2018-04-19,
2018-04-21,
2018-04-22,
2018-04-24,
2018-04-26,
2018-04-27,
2018-04-29,
2018-05-01,
2018-05-02,
2018-05-04,
2018-05-06,
2018-05-07,
2018-05-09,
2018-05-11,0.19975932
2018-05-12,
2018-05-14,
2018-05-16,
2018-05-17,
2018-05-19,0.23260729
2018-05-21,
2018-05-22,
2018-05-24,
2018-05-26,0.25621265
2018-05-29,
2018-05-31,
2018-06-01,
2018-06-03,
2018-06-05,
2018-06-06,
2018-06-08,
2018-06-10,
2018-06-11,
2018-06-13,
2018-06-15,
2018-06-16,
2018-06-18,
2018-06-20,
2018-06-21,
2018-06-23,
2018-06-25,
2018-06-26,
2018-06-28,
2018-06-30,
2018-07-01,0.24118643
2018-07-03,0.25353873
2018-07-05,
2018-07-06,0.2558666
2018-07-08,0.24629779
2018-07-10,0.25351942
2018-07-11,
2018-07-13,0.25872868
2018-07-15,0.2763108
2018-07-16,0.24735554
2018-07-18,0.24004781
2018-07-20,0.259207
2018-07-21,
2018-07-23,
2018-07-25,0.24839558
2018-07-26,
2018-07-28,0.25518143
2018-07-30,
2018-07-31,0.24554761
2018-08-02,
2018-08-04,
2018-08-05,
2018-08-07,
2018-08-09,
2018-08-10,
2018-08-12,
2018-08-14,
2018-08-15,
2018-08-17,
2018-08-19,
2018-08-20,
2018-08-22,0.25374365
2018-08-24,
2018-08-25,
2018-08-27,
2018-08-29,0.26818442
2018-08-30,
2018-09-01,0.23158556
2018-09-03,0.23708092
2018-09-04,
2018-09-06,
2018-09-08,0.2526431
2018-09-09,0.23856787
2018-09-11,
2018-09-13,
2018-09-14,
2018-09-16,
2018-09-18,0.2592579
2018-09-19,
2018-09-21,0.25305295
2018-09-23,
2018-09-24,
2018-09-26,
2018-09-28,0.21348763
2018-09-29,0.24725643
2018-10-01,
2018-10-03,
2018-10-04,0.2441966
2018-10-06,
2018-10-08,
2018-10-09,
2018-10-11,
2018-10-13,
2018-10-14,
2018-10-16,0.2135615
2018-10-18,
2018-10-19,
2018-10-21,
2018-10-23,
2018-10-24,0.20960714
2018-10-26,
2018-10-28,0.1686786
2018-10-29,
2018-10-31,
2019-02-10,
2019-02-13,
2019-02-15,
2019-02-16,
2019-02-18,
2019-02-20,
2019-02-21,
2019-02-23,
2019-02-25,
2019-02-26,
2019-02-28,
2019-03-02,
2019-03-03,
2019-03-05,
2019-03-07,
2019-03-08,
2019-03-10,
2019-03-12,
2019-03-13,
2019-03-15,
2019-03-17,
2019-03-18,
2019-03-20,
2019-03-22,
2019-03-23,
2019-03-25,
2019-03-27,
2019-03-28,
2019-03-30,
2019-04-01,
2019-04-02,
2019-04-04,
2019-04-06,
2019-04-07,
2019-04-09,
2019-04-11,
2019-04-12,
2019-04-14,
2019-04-16,
2019-04-17,
2019-04-19,
2019-04-21,
2019-04-22,
2019-04-24,
2019-04-26,
2019-04-27,
2019-04-29,
2019-05-01,
2019-05-02,
2019-05-04,
2019-05-06,
2019-05-07,
2019-05-09,
2019-05-11,
2019-05-12,
2019-05-14,
2019-05-16,
2019-05-17,
2019-05-19,0.21909666
2019-05-21,
2019-05-24,
2019-05-26,
2019-05-27,
2019-05-29,
2019-05-31,
2019-06-01,
2019-06-03,
2019-06-05,
2019-06-06,0.2107519
2019-06-08,0.22477545
2019-06-10,
2019-06-11,
2019-06-13,
2019-06-15,0.2396167
2019-06-16,0.2282917
2019-06-18,
2019-06-20,
2019-06-21,
2019-06-23,
2019-06-25,
2019-06-26,
2019-06-28,
2019-06-30,
2019-07-01,
2019-07-03,
2019-07-05,
2019-07-06,
2019-07-08,0.24598737
2019-07-10,
2019-07-11,0.23152381
2019-07-13,
2019-07-15,
2019-07-16,
2019-07-18,
2019-07-20,
2019-07-21,0.24611709
2019-07-23,
2019-07-25,
2019-07-26,0.23063675
2019-07-28,
2019-07-30,
2019-07-31,
2019-08-02,
2019-08-04,
2019-08-05,
2019-08-07,
2019-08-09,0.27796423
2019-08-10,
2019-08-12,
2019-08-14,
2019-08-15,
2019-08-17,
2019-08-19,
2019-08-20,
2019-08-22,
2019-08-24,0.26771078
2019-08-25,
2019-08-27,
2019-08-29,0.25051802
2019-08-30,
2019-09-01,
2019-09-03,
2019-09-04,0.2642227
2019-09-06,
2019-09-08,
2019-09-09,0.23585024
2019-09-11,
2019-09-13,
2019-09-14,0.26713246
2019-09-16,
2019-09-18,
2019-09-19,
2019-09-21,
2019-09-23,
2019-09-24,
2019-09-26,
2019-09-28,
2019-09-29,
2019-10-01,
2019-10-03,
2019-10-04,
2019-10-06,
2019-10-08,
2019-10-09,
2019-10-11,
2019-10-13,
2019-10-14,
2019-10-16,
2019-10-18,
2019-10-19,
2019-10-21,
2019-10-23,
2019-10-24,
2019-10-26,
2019-10-28,
2019-10-29,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-08,
2020-01-31,
2020-02-03,
2020-02-06,
2020-02-10,
2020-02-13,
2020-02-15,
2020-02-16,
2020-02-18,
2020-02-20,
2020-02-21,
2020-02-23,
2020-02-25,
2020-02-26,
2020-02-28,
