t,EVI2
2017-01-16,
2017-01-26,
2017-02-05,
2017-02-15,
2017-02-25,0.06510202
2017-03-07,
2017-03-17,0.059962466
2017-03-19,0.097556695
2017-03-27,
2017-04-01,
2017-04-06,0.069299996
2017-04-11,0.055858172
2017-04-16,
2017-04-21,0.06435785
2017-04-26,
2017-05-01,
2017-05-06,0.047355987
2017-05-11,
2017-05-16,0.05515447
2017-05-21,
2017-05-26,0.08481757
2017-06-05,0.15940547
2017-06-10,0.18399619
2017-06-15,
2017-06-20,0.36339623
2017-06-25,0.40608284
2017-06-30,
2017-07-05,0.61584604
2017-07-10,
2017-07-15,0.67247415
2017-07-20,
2017-07-25,
2017-07-30,
2017-08-04,0.70365477
2017-08-09,
2017-08-14,0.5986579
2017-08-19,
2017-08-24,0.4938252
2017-08-29,0.456434
2017-09-03,
2017-09-08,
2017-09-13,
2017-09-18,
2017-09-23,0.0715119
2017-09-28,
2017-10-03,
2017-10-08,0.07612632
2017-10-13,0.08060709
2017-10-18,
2017-10-23,0.11770665
2017-10-28,0.07935062
2017-11-02,
2017-11-07,0.07603242
2017-11-12,
2017-11-17,0.061180633
2017-11-22,0.06819084
2017-11-27,0.06562197
2017-12-02,
2017-12-07,0.074232996
2017-12-12,
2017-12-17,
2017-12-22,
2017-12-27,
2018-01-01,
2018-01-06,
2018-01-11,
2018-01-16,
2018-01-21,
2018-01-26,
2018-01-31,
2018-02-05,
2018-02-10,
2018-02-15,
2018-02-20,
2018-02-25,0.4755699
2018-03-02,0.44577375
2018-03-07,
2018-03-12,
2018-03-17,
2018-03-22,0.41789144
2018-03-27,
2018-04-01,
2018-04-06,0.49349514
2018-04-11,
2018-04-16,
2018-04-21,
2018-04-26,
2018-05-01,0.594323
2018-05-06,
2018-05-11,0.60586596
2018-05-16,
2018-05-21,0.628263
2018-05-26,0.55271626
2018-05-31,
2018-06-05,
2018-06-10,
2018-06-15,
2018-06-20,0.18767756
2018-06-25,0.17241865
2018-06-30,0.1645424
2018-07-05,
2018-07-10,0.17746463
2018-07-15,
2018-07-20,
2018-07-25,0.20078528
2018-07-30,0.23286626
2018-08-04,0.2719476
2018-08-09,
2018-08-14,
2018-08-19,0.41435203
2018-08-24,
2018-08-29,
2018-09-03,0.45504466
2018-09-08,0.45003203
2018-09-13,
2018-09-18,
2018-09-23,0.41081664
2018-09-28,0.114129536
2018-10-03,0.09197482
2018-10-08,
2018-10-13,
2018-10-18,
2018-10-23,0.083149545
2018-10-28,
2018-11-02,
2018-11-07,
2018-11-12,0.08429493
2018-11-17,0.094907425
2018-11-22,
2018-11-27,0.076006755
2018-12-02,
2018-12-07,0.055016786
2018-12-12,
2018-12-17,
2018-12-22,
2018-12-27,0.05171045
2019-01-01,
2019-01-06,
2019-01-11,0.062173653
2019-01-16,0.06111524
2019-01-21,
2019-01-26,
2019-01-31,
2019-02-05,
2019-02-10,
2019-02-15,0.067748204
2019-02-20,0.06704655
2019-02-25,0.06272097
2019-03-02,
2019-03-07,
2019-03-12,
2019-03-17,
2019-03-22,0.06282269
2019-03-27,0.059608873
2019-04-01,
2019-04-06,
2019-04-11,
2019-04-16,
2019-04-21,
2019-04-26,
2019-05-01,0.061977666
2019-05-06,0.07436066
2019-05-11,
2019-05-16,0.062070314
2019-05-26,
2019-05-31,0.07607638
2019-06-05,
2019-06-15,
2019-06-20,
2019-06-25,0.31528407
2019-06-30,
2019-07-05,0.47044915
2019-07-10,0.5629567
2019-07-15,0.61781126
2019-07-20,
2019-07-25,0.62033916
2019-07-30,
2019-08-04,0.626082
2019-08-09,0.64211094
2019-08-14,0.65132946
2019-08-19,
2019-08-24,0.6248807
2019-08-29,0.6309227
2019-09-03,
2019-09-08,
2019-09-13,0.18016131
2019-09-18,
2019-09-28,
2019-10-03,
2019-10-08,0.09667238
2019-10-13,0.10064845
2019-10-18,
2019-10-23,
2019-10-28,
2019-11-02,
2019-11-07,
2019-11-12,0.09279
2019-11-17,
2019-11-22,
2019-11-27,0.18659478
2019-12-02,
2019-12-07,
2019-12-12,
2019-12-17,
2019-12-22,
2019-12-27,0.33918887
2020-01-01,
2020-01-06,0.36038303
2020-01-11,
2020-01-16,0.3727367
2020-01-21,
2020-01-26,
2020-01-31,
2020-02-05,0.44960973
2020-02-10,
2020-02-15,0.44524655
2020-02-20,0.4527247
2020-02-25,
2020-03-01,
2020-03-06,
2020-03-11,
2020-03-16,
2020-03-21,0.43451995
2020-03-26,
2020-03-31,
2020-04-05,0.4782056
2020-04-10,0.44979572
2020-04-15,0.46267214
2020-04-20,
2020-04-25,
2020-04-30,
2020-05-05,0.4586075
2020-05-10,
2020-05-15,
2020-05-20,0.4802391
2020-05-25,0.4640017
2020-05-30,0.37345788
2020-06-04,0.32370117
2020-06-09,
2020-06-14,
2020-06-19,0.17223851
2020-06-24,0.17288257
2020-06-29,
2020-07-04,
2020-07-09,0.17114507
2020-07-14,
2020-07-19,0.103832975
2020-07-24,0.10581652
2020-07-29,
2020-08-03,
2020-08-08,0.10319341
2020-08-13,
2020-08-18,
2020-08-23,0.116388604
